nom,note,date,texte
Yvan,3.0,2023 05 03,"The atmosphere at the Cage Aux Sports is incredible! The welcome is the service is impressive. I ordered a Spicy Burger 🍔 🐔 not pleasant. The chicken was sweet tough and cold. I specified that I would like very hot fries. Fries arrived lukewarm. They changed them for other lukewarm fries. I was changed the 🍔 for one on beef charcoal, delicious. The 3 stars are for the atmosphere, the service, the welcome and the Charcoal Burger. This is my first impression of this Cage Aux Sports."
Al Zee,3.0,2023 05 03,"Great service, great vibe but mediocre food. If you want to enjoy the game with a crowd it’s a good place to go."
Sandrine Legein,4.0,2023 05 03,To visit
monteserin liancy,5.0,2023 04 30,"Great atmosphere and very good service, wide variety of cocktails."
Gerardo Bompadre,5.0,2023 04 30,Great service and food. And open for diner after shows at Place des Arts !!!!
Tala Jabbary,1.0,2023 04 30,I cannot say how disappointed I was. We ordered fish & chips with mushroom burger. The fries was soggy and not fresh and the fish and beef patty were burnt and smelled highly like burnt oil. My fries were floating in oil. In general absolute fiasco in food. The only nice thing about the place was the beer!
Jessica W,5.0,2023 04 30,"We were in MTL for the weekend and wanted to catch the fights, seeking a bar comparable to Real Sports in Toronto. Loaded with big screens, nice energy, good drinks. I had a margarita, the red sangria (SO GOOD) and the Buffalo poutine which was ridiculously delicious. Topped it off with the chocolate cake, this spot did not disappoint!"
Sandrella Abou Zeidan,5.0,2023 04 30,Really good place to hangoutI recommend
Nicolas Le Brun,5.0,2023 04 30,A good restaurant bar to enjoy sports matches with friends. Located rue Ste Catherine the passage in this restaurant is worth the detour. You will not be disappointed.
Alex Lagacé,5.0,2023 04 30,
Evaldo Martín Casas,5.0,2023 04 30,
Ruby Rattigan,1.0,2023 04 30,"Absolutely terrible experience, the wrong food was given to one of the customers. The waitress asked if we wanted dessert and then when we asked to order she said that the kitchen is closed. She then gave another customer the wrong drink and when she asked for the right one she brought back the same drink. We didn’t give a tip due to this bad service and she then took away a drink that was unfinished and when we asked for it back she didn’t apologise and slammed it on the table. She then asked why we didn’t give a tip and when we said why she stormed off."
Roberto Conde,4.0,2023 04 30,
Joel Palmer,5.0,2023 04 30,
Aleks Redko,5.0,2023 04 30,
Caroline Bolduc,5.0,2023 03 31,The manager Andrew is amazing. Excellent service from our waitress Mélodie. Well done and thank you!
Chad Moody,5.0,2023 03 31,
alex spence,5.0,2023 03 31,Great staff who stayed open to help a team celebrate a national championship!!!!!
Rolande Houndekon,5.0,2023 03 31,"The Andrew the Director is very Nice😇 Mélodie, our waitress too It's always fun to go there. Thanks to the whole team. ❤️"
Jacky Biguet,4.0,2023 03 31,"Good welcome, a basket of popcorn (free) for the aperitif, the dishes are good and plentiful, the prices quite correct. Nice place"
Aly Yamamoto,5.0,2023 03 31,"Lorelei was a great server, the service was great and the screens are awesome to watch games!"
Sébastien Lapointe,5.0,2023 03 31,Great service for our dinner before our metal show at the foufs. Fast and effective
Virgile Barbieux,3.0,2023 03 31,"Went there for a game as recommended by many people and friends. Most people there weren't here for or even aware of the game - we also had one of the screens turned off suddenly. When asked to turn it back on we were first mentioned it would not be possible. After a few minutes we were offered to move to another location which was nice. Unfortunately from that table it was quite hard to see any of the screens, most of them being placed too high, or too far. Service was ok but the staff was super busy, hence not really available. Overall quite disappointing."
Patrice Marsolais,3.0,2023 03 31,
Francis Paradis,5.0,2023 03 31,"Thank you Océanne for the beautiful evening! Service A1, atmosphere 10/10 She deserves a raise or something"
George Plescan,1.0,2023 03 31,"Lame to not show Liverpool vs Man Utd, why even open if you don't show the biggest game?"
David Lemonstre,5.0,2023 03 31,10/10
Mario Cyr,1.0,2023 03 31,It's funny my review was deleted WoW well done because I talked about food poisoning caused by salmon tartar I threw up 15 minutes after eating it
Emma Bergesen Aarthun,5.0,2023 03 31,
Bruno Gallant,5.0,2023 03 31,Excellent service!
Vanessa Honorato,5.0,2023 03 31,Super!! Number 1 waitress and manager!!
Josh Winans,1.0,2023 03 31,😕
Bill Cosby,5.0,2023 03 31,"Nothing to say. It is exactly what is expected. The basic vision of the sports cage is respected to the letter and we feel good there among friends to celebrate while encouraging our favorite sports teams. The manager, Amadan is more than friendly and professional. We were served by Jeanne and her impeccable service put us at ease and allowed us to fully enjoy our experience. I highly recommend."
Sydney Benko,5.0,2023 03 31,Best place to celebrate a national championship. Thanks for staying open late for our group. Great service
Samir Ribeiro,5.0,2023 03 31,Good place 🤙🏼
Luiza Persona,5.0,2023 03 31,
Bruno Chayer,5.0,2023 03 31,Courteous service and good atmosphere
Valente Adrian,5.0,2023 03 31,"Best spot in town to watch hockey while enjoying delicious burgers and chicken wings, a must-see!"
Maria Valdivia Vizcarra,5.0,2023 03 31,Ideal place to have a beer while you watch your hockey game! They also offer you popcorn!
Elie Ghazal,5.0,2023 03 31,
Lyndsey Janes,5.0,2023 03 31,La Cage hosted our hockey team after we won a national championship. They stayed open late to host our group and it was an experience and memory that I will cherish forever. Thank you La Cage for making this moment so special for our group! We appreciate it.
Alain Dionne,5.0,2023 03 31,
René Fidèle,5.0,2023 03 31,"Excellent resto-sports bar in the heart of the Quartier des spectacles! The atmosphere is relaxed and pleasant. If you are lucky enough to meet Melody at the bar, 5* service guaranteed..."
DJ,5.0,2023 03 31,"First time being to La Cage and overall it was a great experience. They give you free popcorn to snack on while you wait for your order, the food was overall pretty good. We went when the hockey game was on and so service was slow but it was understandable. This would be a fun place to eat and watch the game with some friends."
Samuel Côté,1.0,2023 03 31,The owner's tata of the establishment who decides to put on a damn soccer game in the middle of the Montreal Canadiens game. We are in Montreal and it is a hockey city here. It's like going to Europe and removing a World Cup soccer game and putting in a hockey game instead. Big disrespect!
Chantal Voyer,5.0,2023 03 31,"Beautiful atmosphere, warm welcome and delicious food!"
Tianna Yaremko,5.0,2023 03 31,Great place to celebrate a national championship!! Great service and thankful they let us stay open to party!
Brian Boucher,1.0,2023 03 31,Don’t come here if you are solo. They discriminate against solo patrons. I’ve been shoved in a corner with no service and the bartender is a terrible
Natalie Morhun,5.0,2023 03 31,
Joanne McKenna,5.0,2023 02 28,"Great food, fun atmosphere!"
Annya Caba,5.0,2023 02 28,
alain g gaudet,2.0,2023 02 28,"Waitress wonderful, kind, polite and smiling. A chance... Only positive thing to say."
Jowel Beckford,5.0,2023 02 28,
Quentin Pittoni,4.0,2023 02 28,Good burgers. Pleasant service.
Mathilde Gret,1.0,2023 02 28,"Don't order the nachos. Simply chips with 2 pieces of olives. Even with extra cheese, there was only some on 2 chips. Fresh cream is liquid. $28 for chips that I could have bought at dollarama."
NayaHxdge,5.0,2023 02 28,Very good service by Andres and Vincent!
Jenn Preston,5.0,2023 02 28,Food was fantasticService was phenomenalSpecifically Andrew and Melissa made us feel very welcomeGreat restaurant!! We will be back!!
Liam Whelan,5.0,2023 02 28,Great place to eat and drink with friends. The staff were very friendly and the food was delicious. Big shout out to Tristan our server and Andrew the Manager. Will definitely come back the next time we are in Montreal.
Richard Rosenholtz,4.0,2023 02 28,"A good sports bar, food tastes good, many options on the menu, great staff. Portions could have been bigger..."
Deborah Whelan-Payne,5.0,2023 02 28,"So much fun. Great staff, especially Tristan who took care of our table if six. And Andrew (who is a Welsh prince) who made us crack up laughing. Upbeat atmosphere and a top notch welcoming vibe."
Steve Preston,5.0,2023 02 28,"Andrew was very cordial and friendly. He made us feel very welcome. Our server Melissa was very friendly and had a great smile. Because of Andrew and Melissa we would highly recommend Club Cage to others. Thank you,"
T M,4.0,2023 02 28,"Service was good, food was fine..Bathroom has strong odour."
Hans Guenin,5.0,2023 02 28,"La Cage, on hockey game nights, it's really the atmosphere here. On our side, we came between friends and we were served by Lauriane. It's nice to see a waitress loving customers like that. Super professional, friendly, funny and efficient. What about the bill... It's far from costing an arm. Excellent evening...Thank you to the whole team."
PIERRICK PIROTTE,4.0,2023 02 28,Excellent place to spend some time with friends or family. Best place to go and watch CH play. They make good dishes like Buffalo poutine. I recommend it to you without hesitation. I loved it! The staff are very pleasant and intentional. 🙂
Liam Edwards,1.0,2023 02 28,They lost my order in their system and I waited 1 hour to get it. Food was good once I got it.
Tehani LVL,5.0,2023 02 28,A safe bet to have a good time with family or friends. Little extra: popcorn as an appetizer ‘
John MacLennan,5.0,2023 02 28,We went there with friends and had a great time! Great food and friendly staff. A special thanks to our server Tristan.
Bro'n Bro,5.0,2023 02 28,"Pleasantly surprised by the staff. My friend having a severe allergy to several foods, Raphaël was able to reassure us and offer us suitable choices. He personally ensured that everything was respected by bringing us our order himself. The burgers taste very good."
Molly St-Hilaire,4.0,2023 01 31,
Nicholas Persaud,5.0,2023 01 31,
Marcus Saldanha,5.0,2023 01 31,Great
Ève Pépin,4.0,2023 01 31,"Slightly slow service, but the waitress took great care to advise me on the menu with my allergies! Thanks very much:)"
Robert Bouvier,4.0,2023 01 31,
Van Drek,1.0,2023 01 31,
Jeremie Yelle,2.0,2023 01 31,It had been 5 years since I had been. The food was barely passable. A little pride in the kitchen would go a long way.
Cassandra Lapointe,4.0,2023 01 31,"I love their tartars and fries. The salad served with this dish lacks flavor. Good selection of beers. There are very advantageous daily specials; such as half price bottles of wine. It's not the best service I've had, but it was still acceptable considering the traffic."
Raphaël Bamps,1.0,2023 01 31,hair in fries 🍟 just wow
Isalyne Hebert,4.0,2022 12 31,"Good atmosphere, a little expensive for what it is but very pleasant staff especially Cassiopée who was top notch."
Jean-claude D.,3.0,2022 12 31,"Inside this place people are too stacked when there are more of them it should be even worse which becomes a very difficult vibe. I note that this Cage is not big enough, lit enough, noises of all kinds give dizziness which can very well affect the ears and the behavior of people. This could also be a reality. What I like about his Places is their terraces outside during the summer, inside to endure so much noise maybe sometimes or often, I could very well do without it."
Esther Pourquier,1.0,2022 12 31,"They changed the time of my reservation and I couldn't see the world cup final, the waitress was terrible, the manager useless! To flee 🤮"
Fares Benashour,1.0,2022 12 31,
Florian Chanussot,5.0,2022 12 31,"Brilliant setting to watch a game and great burgers. In short, it's the best!"
John Gosselin,1.0,2022 12 31,"Nacho plate: $21 dry, lack of cheese. Share our disappointment with the manager, who is more concerned with telling us anything than solving the problem. Spaghetti Saucisse Forte $19 the pasta was visibly dry, as if the spaghetti had spent too much time on the counter out of the water. Disappointing..."
De puy De Dome,1.0,2022 12 31,Awful steaks
Sandra Sierra,5.0,2022 12 31,
Thamizh Thambi,1.0,2022 12 31,Closes at 2:00 AM and kitchen already closed at 10:00 p.m.
Izzack Zinck (AdventureBoss),5.0,2022 12 31,Wait staff was awesome and the drinks were good. This is the sports bar to go to when checking out the city
Fanny Jiang,1.0,2022 12 31,"We were told that we could do walk in for the world cup final (the lady on the phone: yes we will always leave tables for walk in. please come as early as possible). So we woke up early and went there 1 hour before it opens and waited for more than 30 mins (in the freaking freezing weather!!!) on the final day, and was told that only reservations are accepted. The staff were quite indifferent and basically just asked us to leave. This place is so poorly organized please please avoid at all costs!!!!!"
Juan Munoz,5.0,2022 12 31,My first time here. We came for some appetizers and drinks. The location is very neat. The service is so nice and the food good. I bet is an amazing place to watch some games!!!
Jean-Francois Lacelle,5.0,2022 12 31,Great night !
Scorpio Rush,4.0,2022 12 31,"Went to watch the England vs. France world cup match! Great vibe, service and food ."
Rodrigo Oliveira,4.0,2022 12 31,"Nice sports pub, lots of TV and good selection of beers as well. The food is fair, nothing breathtaking, but it's ok."
Heidi,2.0,2022 12 31,It is true that service is nonexistent because my server was just nowhere to be found. the beef tartare was quite tasteless that I had to add salt and pepper.
José Renato Barcellos Ferreira,5.0,2022 12 31,Great.
S1 S,5.0,2022 12 31,We were very happy with the food. The kids menu is great. They have many options including a drink and ice cream for around $10. The salmon tartare was tasty. Service was friendly and extremely nice.
Fahad Khalid,5.0,2022 12 31,"Are you going to be open at 10 am next monday, becusa of tha Final Fifa Match ??"
David Vadoud Naderi,4.0,2022 12 31,
stephane lecanu,1.0,2022 11 30,"The order was taken, but after we were served the dishes, forced to ask for cutlery to eat, my son ordered spaghetti with tomato and he was served Bolognese and we were only there while on the menu there are both, then 25 minutes of waiting after finishing our dishes to order the dessert when we are only about ten people in the room, the desserts arrive while my son still has his plate finished in front of him and the spoons arrived after we were given the dessert. 15 minutes pass and we ask for the bill, and everywhere we go we leave between 15 and 20% tip and seeing the deplorable service I decide to leave nothing and there the waitress asks us for her service while the dishes and desserts were not even served by her, we told her that her service was deplorable and given her insistence we still left her 10 dollars on an addition of 97 cad. Every time we come to Montreal we go to lacage, but it's over. Maybe that's why there are fewer and fewer people, given the service. survey code 94956404"
Delaney Shultz,2.0,2022 11 30,"Will not go back. Tried like 6 times, no drinks on menu that we asked for were available at that time! Free popcorn, very loud, but lots of sports being shown (watched some World Cup games)"
Janan Mtl,1.0,2022 11 30,"I had most horrible experience in my life in this location. They are ignorant and unwelcoming. Me and my husband went there for a drink today the 20-11-2022 at 8.40pm before an event to grab a drink. There was no one came to see us not even for water in our table till 9.07 pm, at that point we decided to leave. Never coming back again."
Mark Alves,4.0,2022 11 30,Great place to eat good food with big screen TVs all around so don't miss a beat on the game. Great place to and dine after long days work sit back watch a game!
Karol Harumi,5.0,2022 11 30,
sam J,1.0,2022 11 30,They waited until 4 min before kick off to open the doors for the Canada vs Croatia game ...many people were left standing in line waiting to be seated until the 15th minute.....whoever made that decision has real talent lol
Benjamin Wittouck,3.0,2022 11 30,Horribly top for the quantity!! The price too expensive my god for 4 chickens the size of my thumb and a small fries 21$ go kfc will be better 😋 I should have taken hamburger 🍔 maybe more savvy 😉 On the other hand the service and the atmosphere at the top 👌 for a beer and watch the sport 😊
Sarah Jasmine,5.0,2022 11 30,"First experience at the cage today during the Belgium Canada match, we were very quickly welcomed, the atmosphere was great. The desserts were good. Waiters attentive and caring. Clearly I will come this Sunday with my two friends!☺️"
Gabrielle Bergeron,3.0,2022 11 30,Too loud we don't hear each other
Dr Flunch,4.0,2022 11 30,
Pat Pierre,1.0,2022 11 30,Didn’t honor reservation
Mathilde Roy,3.0,2022 11 30,I have been trying to call for several days to book for a large group and I am unable. No one answers and no one calls me back either
Siyuan Liu,4.0,2022 11 30,
Hélène AVENNE,5.0,2022 11 30,
calypso F,4.0,2022 11 30,"Delicious meal! The goat beet salad was excellent! Very nice atmosphere, I will come back"
julien desmarais,1.0,2022 11 30,"I went for supper last night, I was sitting at a table alone 22 min no waitress came to see me Totally ignored… I left I never saw that"
Geneviève Richer,5.0,2022 10 31,One of the best beef tartars I have eaten in my life. Spicy just perfectly. We were seated at the bar and the young girl who looked after us was very nice and attentive.
Ophélie Paris,4.0,2022 10 31,
3ou3ou78,5.0,2022 10 31,"Excellent service, great food, played UEFA Champions League games for my son and I on their biggest screens 2 days in a row. Highly recommended"
Iuli Franca,5.0,2022 10 31,
Alain Martineau,5.0,2022 10 31,"La cage, a beautiful sports bar and a good menu for all tastes."
Tiffany Martinez,5.0,2022 10 31,
Vick T.,1.0,2022 10 31,"We went here since it was a nice looking Sports bar. They had really big nice tvs but unfortunately no sound instead they were playing some music over the games. We ordered a bang bang shrimp bowl and 16 buffalo sauce wings. The shrimp bowl had 5 shrimp that were burned (breaded) and had a few lines of spicy mayo on it. The wings were plain old wings with no sauce on it. When we pointed this out we were told sometimes that's how it turns out and were given cold Buffalo sauce to dip our wings in. I got a blonde beer called the Matin which was good and my wife ordered their only cider but they were out. She then wanted daiquiri but their blender was broken, so then she finally ordered a raspberry cocktail. We got their volcano cake and creme Brule and they weren't horrible or great. Overall, this place was a real let down compared to other Montréal diners and bars. All in all don't be fooled by the looks, the food is doo doo. If you come here go for the beer and that's about it."
KD Huynh,5.0,2022 10 31,"Awesome place and clean, great and smiling people and foods are yummy and delicious! I would recommend this restaurant to everyone!"
Fadi Abdu,5.0,2022 10 31,One of the best Burgers I have eaten in Montreal with a great atmosphere and service
N NO,1.0,2022 10 31,What a bunch of stupids I know that it is very common in Montreal to be stupid but my god those working there are just way ahead of the curve …. Don’t want to drag this too long I think that people will get the message … just don’t go there if you care about yourself.
Stan Grigorov,4.0,2022 10 31,
Guy A,3.0,2022 10 31,"Great food, the service was bad though"
Simona Chiorean,1.0,2022 10 31,Over 1hr wait at the table during lunch time.
Fernanda Valério Guimarães,1.0,2022 10 31,we went with our family and our baby was sleeping in the stroller. they wanted us to take him out of the cart so he could enter the restaurant. absurd!
Alain Johnson,4.0,2022 10 31,"Good lively brasserie, varied menu, good choice of beer, good service"
céline LECUYER,5.0,2022 10 31,Friendly staff
Thierry Allard-Maisonneuve,5.0,2022 10 31,
Élie Nassar,1.0,2022 09 30,
Jean-Gregoire Estime,5.0,2022 09 30,Bel place
Nima Naimi,1.0,2022 09 30,"I used to frequent this establishment quite often over the past 25 years; however the last two times were the worst I’ve ever experienced. Both within a 3 week period. The penultimate time I went, the waiter took too long to put on our order and was rude to us, then took 27 minutes just to bring us our bill. I gave them another chance and thought it was just a one time bad experience, but the most recent time I went was tonight. The waitress saw that I was with my toddler and was immediately dismissive of my family. She took 30 mins just to get our order and the people next to us had arrived after us, ordered at the same time as us, received their food, FINISHED their food and the waitress said it would just be a bit longer (it had been 1h20 mins). My son became deliriously tired and we had to walk out and get something else to eat before our food ever arrived. I’m NEVER GOING HERE AGAIN. Worst service EVER!!!"
Barthélémy Sire,2.0,2022 09 30,Lack of qualified staff
Lorenzo Carroll,4.0,2022 09 30,
Christophe Bern______,4.0,2022 09 30,"Friendly atmosphere, original decor"
A H,4.0,2022 09 30,nice place
Bilal,2.0,2022 09 30,"Food was pretty bad , we were assigned a table in the way where people were bumping to us while walking by and we are not bug guys. The lobsters mini rolls were horrible , it was more like lettuce sandwich. Couldn't taste or see the lobsters. They took over 40 min to get us the appetizer then it was wrong and then the main dish showed up. Not the best experience at all but location is good. Doubt that i will return to it."
Nathalie Azoulay,1.0,2022 09 30,"Not clean it's shameful for Montreal Zero eating quality Awful salmon tartare, cold fries steak not tender I didn't even want to take pictures"
Shlomo Dvir,5.0,2022 09 30,
charles-antoine lafond,1.0,2022 09 30,"I've been there now 4 times and you haven't featured the UFC. PPV or free card. France's first card ever goes free on RDS and you feature standout women's hockey instead. Unfortunately, you push your customers towards the competition."
Łukasz Wiera,5.0,2022 09 30,Very good spaghetti.
Cécilia Michelant,2.0,2022 09 30,"The girls at the entrance were very nice but the waiters not really. We are French and we know that the tips here are mandatory so we left some with the seller but he let us know that it was not enough. I had never heard that before. In short, we will not be returning during our stay."
Leo FORTIN,5.0,2022 09 30,
Tracy Carignan,2.0,2022 08 31,"Great location, unfortunately the food was horrible. We ordered the wings, they were extremely small, they were all either burnt or very well done. Came with 1 carrot slice and 1 celery slice. The popcorn was rubbery and the fries were burnt. Very very disappointing. When I told the waiter we were not pleased with the over cooked food he seemed unfazed and made no attempt to give us a rebate on our bill. Maybe we just got unlucky but based off of this experience I would not recommend this location."
Regis Auda,2.0,2022 08 31,"The smallest chicken wings I've ever eaten. The floor was dirty, full of popcorn on the ground, a waitress knocked over a glass and a bowl of popcorn, neither she nor her partners picked it up, 15min for a clearing attendant to put the bottle ... vertically always on the ground. barely if he didn't step over it. And a lukewarm Bloody Caesar. In short, avoid."
vivi 1230,1.0,2022 08 31,This restaurant is perfect if you are a fan of waiting 30 minutes to end up being refused!
KING KEROZEN,5.0,2022 08 31,
Alain Tremblay,2.0,2022 08 31,"Very disappointing! The wings, small and way overcooked, were totally unsatisfactory. In addition, coke is ""flattering"" and tasteless. Even at half price, it's not worth the detour. I miss La Cage aux Sports from the 80s and 90s. Now, it's very expensive and it's a big eye-catcher. ""We play it"" without delivering the goods."
Flor Ent,5.0,2022 08 31,According to my children
Andre H (Andre The Geek),5.0,2022 08 31,"We just went for drinks on the patio on a hot day. The service was excellent, and they have a great selection of draught beer. It's a nice place to go sit and people-watch while enjoying a cold one."
Christine Zhang,3.0,2022 08 31,"Close to the office during lunch hour. The Tuesday $10 promotion was interesting. Although the Bang Bang shrimp bowl was a healthy choice, there were only 5 pieces of shrimp, not enough Bang Bang sauce in the salad and lots of rice. We had waited a long time to pay the bill because the server had forgotten about us."
Alexandra Buccilli,1.0,2022 08 31,"Good morning. I was with Delphine and Vivi that evening... We were made to wait 40-50 minutes and we had to go see the hostess because we never had any follow-up for all this waiting time. When we went to see her, we were treated to disparaging remarks as well as vague answers. Basically, they didn't care that the wait was endless. Unfortunately, the one who seemed to be ""responsible"" that evening told us with a small smile that an hour and a half before a show, it was not early enough and made us leave. In short, even if you have a show near this restaurant, don't go there, unless you like to wait 40 minutes and then eat from the Subway next door because all the other restaurants are full! If I could, I would have given 0!"
Serigne mbacke Deme,5.0,2022 08 31,
Victor chr,5.0,2022 08 31,Hearty and delicious!
CHRISTINE DUCOURET,4.0,2022 08 31,"A very nice pub. The waitresses are really nice and caring. The dishes are very good, plentiful and very well presented. Reservations are recommended as it gets really crowded. I recommend"
Jamie Nickerson,5.0,2022 08 31,
Jeff Anderson,5.0,2022 08 31,"Good atmosphere, giant screens and an assortment of interesting menu options which are variations of standard pub food. Lots of beer options."
Joannie Collard,1.0,2022 08 31,"This is the first negative comment I leave, but I must share my experience. I attempted to go to this branch for dinner and was refused entry with my stroller and 2 month old baby. Understand, baby could enter, but I had to leave the stroller (his pram) in the entrance of the restaurant unattended. You are aware that a 2 month old baby cannot be placed in a high chair or on a booster. So we decided not to eat there. The restaurant is large and there is plenty of room to put a stroller there without hindering the work of the waiters (his) while maintaining the comfort of my child. We went to eat in several places with our baby (even at another sports cage) and we were never refused access like this, even in so-called ""upscale"" restaurants. If I could have given 0 stars I would have. This practice is completely discriminatory and unjustified."
D C,1.0,2022 08 31,"Service was good, food was not. Cage is a Quebec company and I expected a proper poutine but the cage gravy is awful. Their ""911"" hot sauce for their chicken wings should be called ""mild spicy"", it is definitely not 911... my 10 yr old daughter and her friends tried them and didn't really find them hot. I fi d the food at Royal Oak much much better."
Pierre Couture,4.0,2022 08 31,Brewery always fun! The menu has been enhanced in recent years and there are more choices than before.
Ugtmrkd gang,5.0,2022 08 31,Best food best service 😋
Lucas Sneed,1.0,2022 08 31,"Ordered on Doordash. Truly terrible food. The wings were barely cooked, the burger was over cooked. The fries were absolutely flavorless. I can't believe this is a standing restaurant"
Robert Corrigan,4.0,2022 08 31,Good wait staff and great sports coverage...
Pauline Charest,2.0,2022 08 31,"I was disappointed because we asked for a seat near the windows, we were placed in a tiny table, me and my sister Barbara, I ordered an avocado salad from a virtual menu, when the waitress arrived I asked to change to the one without 🥑 I kept my bill I was billed the same $$ and the white wine not to my taste. Positive: nice and eager waitress. Cleanliness and decor +++ when people push their chairs you get them in the back"
Sam uel,5.0,2022 08 31,"Was there on a Wednesday evening with a friend. Food was good. We were served by Jane, amazing service and attitude. Many thanks to her for the great service."
Delphine Béland,1.0,2022 08 31,"Horrible experience. We were told to wait to be seated, only to be told to leave 40 minutes later by a condescending and rude employee. Yet there were clearly several free tables in the restaurant. To flee."
ROGER NOHRA,5.0,2022 07 31,
guendouze madjid,1.0,2022 07 31,
yeen nelson,5.0,2022 07 31,
Baljot Gill,5.0,2022 07 31,
spoutnik360 (Thomas-E B-Goadri),3.0,2022 07 31,
Pramod Anand,4.0,2022 07 31,
henry_b12,2.0,2022 07 31,Not my kind of restaurant. Noisy and the food is just ok.
Scottie “Scot” Weatherup,4.0,2022 07 31,
Chris moute,5.0,2022 07 31,On a scale of 1 to Fair.... It's fantastic
Béatrice Richard,3.0,2022 07 31,"Incredible location and terrace during festivals, but way too expensive for the quality of the food!"
Tanya Collins,3.0,2022 07 31,Slow but pleasant service
Nathalie megalexwhynot,1.0,2022 07 31,Non-existent customer service (three employees twiddling their thumbs without knowing what to do). We were given a table of 4 for 5 people so a chair in the aisle where we were being pushed around. Categorical refusal to give us a bench saying that it was for 4 people (like the table at the start) we left. I do not recommend. The little popcorn eaten while waiting was good.
Jacques Cardinal,3.0,2022 07 31,Food too greasy. Too much breading. Very friendly staff
Рюма Татьяна,5.0,2022 07 31,
Mael Bonnardot,1.0,2022 07 31,The worst Virgin Mojito in human history
Adam Daviau,5.0,2022 07 31,What a great location. Was very busy and yet got seated very quickly. The waitress was very friendly and made sure to check in frequently if I wanted anything. There is free popcorn while you wait for your food. My food came out and was delicious. Portion size was a little small but well worth it. Once I was done eating they bring you a cup and a large bottle with water. No push to get you out. Loved everything from the decor to the service to the food. A must go.
Chris Rivard,5.0,2022 07 31,Good service and atmosphere
Gary Erickson,5.0,2022 07 31,A most excellent place for a late lunch. The wine was great with our salads. The staff is friendly and efficient. We had a great time and wonderful meal.
Mags Larry,1.0,2022 07 31,"100% watering down their drinks. I ordered a specialty cocktail and couldn't taste any liquor, ordered a double cran and vodka couldn't taste any alcohol, ordered a shot and it didn't really burn like they usually do. After 4 drinks I left with not even a slight buzz."
MJ S,1.0,2022 07 31,Food was descent for the price. Service is AWFUL basically non existent. Waitress was only fast with bills and payment. 2 tries to order a drink. That took 20 minutes!!
